Artist,Position,Streams,Track Name,acousticness,album_type,analysis_url,danceability,date,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,popularity,region,release_date,speechiness,spotify_id,tempo,time_signature,track_href,type,uri,valence
Roddy Ricch,1.0,18883695.0,The Box,0.104,album,https://api.spotify.com/v1/audio-analysis/0nbXyq5TXYPCO7pr3N8S4I,0.896,2020-02-07--2020-02-14,196652.0,0.586,0nbXyq5TXYPCO7pr3N8S4I,0.0,10.0,0.79,-6.687,0.0,95.0,us,2019-12-06,0.0559,0nbXyq5TXYPCO7pr3N8S4I,116.971,4.0,https://api.spotify.com/v1/tracks/0nbXyq5TXYPCO7pr3N8S4I,audio_features,spotify:track:0nbXyq5TXYPCO7pr3N8S4I,0.642
Future,2.0,11725270.0,Life Is Good (feat. Drake),0.0706,single,https://api.spotify.com/v1/audio-analysis/5yY9lUy8nbvjM1Uyo1Uqoc,0.676,2020-02-07--2020-02-14,237735.0,0.609,5yY9lUy8nbvjM1Uyo1Uqoc,0.0,2.0,0.152,-5.831,0.0,90.0,us,2020-01-10,0.481,5yY9lUy8nbvjM1Uyo1Uqoc,142.037,4.0,https://api.spotify.com/v1/tracks/5yY9lUy8nbvjM1Uyo1Uqoc,audio_features,spotify:track:5yY9lUy8nbvjM1Uyo1Uqoc,0.508
Justin Bieber,3.0,9044309.0,Intentions,0.317,single,https://api.spotify.com/v1/audio-analysis/364dI1bYnvamSnBJ8JcNzN,0.811,2020-02-07--2020-02-14,212868.0,0.553,364dI1bYnvamSnBJ8JcNzN,0.0,9.0,0.105,-6.644,1.0,89.0,us,2020-02-07,0.0552,364dI1bYnvamSnBJ8JcNzN,148.014,4.0,https://api.spotify.com/v1/tracks/364dI1bYnvamSnBJ8JcNzN,audio_features,spotify:track:364dI1bYnvamSnBJ8JcNzN,0.86
Arizona Zervas,4.0,7884837.0,ROXANNE,0.0522,single,https://api.spotify.com/v1/audio-analysis/696DnlkuDOXcMAnKlTgXXK,0.621,2020-02-07--2020-02-14,163636.0,0.601,696DnlkuDOXcMAnKlTgXXK,0.0,6.0,0.46,-5.616,0.0,92.0,us,2019-10-10,0.148,696DnlkuDOXcMAnKlTgXXK,116.735,5.0,https://api.spotify.com/v1/tracks/696DnlkuDOXcMAnKlTgXXK,audio_features,spotify:track:696DnlkuDOXcMAnKlTgXXK,0.457
Roddy Ricch,5.0,7616758.0,High Fashion (feat. Mustard),0.269,album,https://api.spotify.com/v1/audio-analysis/07KXEDMj78x68D884wgVEm,0.831,2020-02-07--2020-02-14,220486.0,0.499,07KXEDMj78x68D884wgVEm,0.0,11.0,0.3,-8.442,0.0,87.0,us,2019-12-06,0.114,07KXEDMj78x68D884wgVEm,97.956,4.0,https://api.spotify.com/v1/tracks/07KXEDMj78x68D884wgVEm,audio_features,spotify:track:07KXEDMj78x68D884wgVEm,0.511
The Weeknd,6.0,7451597.0,Blinding Lights,0.00147,single,https://api.spotify.com/v1/audio-analysis/0sf12qNH5qcw8qpgymFOqD,0.513,2020-02-07--2020-02-14,201573.0,0.796,0sf12qNH5qcw8qpgymFOqD,0.000209,1.0,0.0938,-4.075,1.0,72.0,us,2019-11-29,0.0629,0sf12qNH5qcw8qpgymFOqD,171.017,4.0,https://api.spotify.com/v1/tracks/0sf12qNH5qcw8qpgymFOqD,audio_features,spotify:track:0sf12qNH5qcw8qpgymFOqD,0.345
Eminem,7.0,7235132.0,Godzilla (feat. Juice WRLD),0.145,album,https://api.spotify.com/v1/audio-analysis/7FIWs0pqAYbP91WWM0vlTQ,0.808,2020-02-07--2020-02-14,210800.0,0.745,7FIWs0pqAYbP91WWM0vlTQ,0.0,10.0,0.292,-5.26,0.0,89.0,us,2020-01-17,0.342,7FIWs0pqAYbP91WWM0vlTQ,165.995,4.0,https://api.spotify.com/v1/tracks/7FIWs0pqAYbP91WWM0vlTQ,audio_features,spotify:track:7FIWs0pqAYbP91WWM0vlTQ,0.829
Trevor Daniel,8.0,7079662.0,Falling,0.123,single,https://api.spotify.com/v1/audio-analysis/4TnjEaWOeW0eKTKIEvJyCa,0.784,2020-02-07--2020-02-14,159381.0,0.43,4TnjEaWOeW0eKTKIEvJyCa,0.0,10.0,0.0887,-8.756,0.0,91.0,us,2018-10-05,0.0364,4TnjEaWOeW0eKTKIEvJyCa,127.087,4.0,https://api.spotify.com/v1/tracks/4TnjEaWOeW0eKTKIEvJyCa,audio_features,spotify:track:4TnjEaWOeW0eKTKIEvJyCa,0.236
Dua Lipa,9.0,6911464.0,Don't Start Now,0.0125,single,https://api.spotify.com/v1/audio-analysis/6WrI0LAC5M1Rw2MnX2ZvEg,0.794,2020-02-07--2020-02-14,183290.0,0.793,6WrI0LAC5M1Rw2MnX2ZvEg,0.0,11.0,0.0952,-4.521,0.0,92.0,us,2019-10-31,0.0842,6WrI0LAC5M1Rw2MnX2ZvEg,123.941,4.0,https://api.spotify.com/v1/tracks/6WrI0LAC5M1Rw2MnX2ZvEg,audio_features,spotify:track:6WrI0LAC5M1Rw2MnX2ZvEg,0.677
Post Malone,10.0,6696187.0,Circles,0.192,album,https://api.spotify.com/v1/audio-analysis/21jGcNKet2qwijlDFuPiPb,0.695,2020-02-07--2020-02-14,215280.0,0.762,21jGcNKet2qwijlDFuPiPb,0.00244,0.0,0.0863,-3.497,1.0,92.0,us,2019-09-06,0.0395,21jGcNKet2qwijlDFuPiPb,120.042,4.0,https://api.spotify.com/v1/tracks/21jGcNKet2qwijlDFuPiPb,audio_features,spotify:track:21jGcNKet2qwijlDFuPiPb,0.553
